brand,model_year,milage,fuel_type,engine,transmission,price
Nissan,2023,"6,200 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$48,000"
Ford,2019,"85,000 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,"$52,500"
Mercedes-Benz,2017,"19,324 mi.",Gasoline,456.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$75,000"
Cadillac,2018,"49,273 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,"$54,000"
Tesla,2019,"42,094 mi.",,Electric Motor Electric Fuel System,A/T,"$32,000"
BMW,2017,"44,000 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$55,000"
Chevrolet,2012,"148,377 mi.",Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$5,500"
Dodge,2010,"70,000 mi.",Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$22,000"
Mercedes-Benz,2016,"143,290 mi.",Diesel,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,A/T,"$33,490"
Ford,2019,"69,205 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,"$73,500"
Chevrolet,2015,"123,500 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$25,650"
Audi,2018,"70,773 mi.",Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$30,950"
Jeep,2015,"109,000 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$7,599"
INFINITI,2014,"71,097 mi.",Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$18,995"
BMW,2013,"76,309 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$12,000"
Tesla,2018,"26,609 mi.",,Electric,Automatic,"$36,998"
Land,2023,"4,126 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,"$155,000"
Nissan,1996,"160,490 mi.",–,–,5-Speed M/T,"$15,500"
Cadillac,2014,"80,400 mi.",Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,"$15,000"
Toyota,2010,"123,620 mi.",Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$9,900"
Acura,2011,"187,883 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,"$5,500"
Mercedes-Benz,2020,"45,000 mi.",Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$133,000"
Honda,2022,"25,420 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,"$24,500"
BMW,2011,"129,999 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$29,999"
BMW,2008,"41,048 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$38,490"
Nissan,2010,"72,500 mi.",Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$6,750"
RAM,2014,"143,390 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$13,000"
Acura,2018,"68,425 mi.",Gasoline,279.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$23,500"
Toyota,2018,"95,000 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$33,000"
RAM,2019,"29,000 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$49,500"
Chevrolet,2003,"145,000 mi.",Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$22,000"
Land,2020,"29,700 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,"$68,000"
Jeep,2011,"98,658 mi.",Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$14,995"
Volvo,2009,"97,615 mi.",Gasoline,281.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$10,500"
Porsche,2014,"36,000 mi.",Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$37,000"
Mazda,2021,"61,874 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,"$22,389"
Chrysler,2012,"74,582 mi.",E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$8,500"
INFINITI,2013,"51,500 mi.",Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,"$23,900"
Toyota,2007,"193,827 mi.",Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$14,950"
Chevrolet,2019,"53,433 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,"$36,950"
Mercedes-Benz,2012,"103,000 mi.",Gasoline,451.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$40,000"
BMW,2016,"59,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$20,999"
Lexus,2017,"82,000 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,"$32,900"
Porsche,2016,"60,000 mi.",Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$45,000"
Cadillac,2017,"93,971 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,"$47,000"
Lexus,2015,"62,600 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$27,500"
Mercedes-Benz,2014,"84,450 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$19,000"
Audi,2022,"18,099 mi.",Hybrid,2.0 Liter TFSI,Automatic,"$40,798"
Mercedes-Benz,2014,"76,500 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$17,999"
Chevrolet,2017,"74,000 mi.",Gasoline,275.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$19,800"
RAM,2022,"15,607 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,"$45,999"
Chevrolet,2014,"111,095 mi.",E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$26,000"
Toyota,2007,"37,216 mi.",Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,"$14,995"
Jaguar,2015,"25,786 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$38,500"
Jeep,2021,"15,520 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,"$40,459"
RAM,2021,"49,583 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,"$42,816"
Porsche,2015,"97,300 mi.",Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,"$29,995"
Chevrolet,2002,"89,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$10,400"
Porsche,2015,"52,111 mi.",Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$37,500"
Dodge,2019,"75,800 mi.",Gasoline,6.4 Liter,Automatic,"$35,998"
Lexus,2010,"113,500 mi.",Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$11,000"
Audi,2015,"155,382 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$13,500"
Mercedes-Benz,2016,"49,643 mi.",Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$33,995"
BMW,2015,"76,474 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$32,000"
Porsche,2016,"10,431 mi.",Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$50,999"
INFINITI,2009,"190,120 mi.",Gasoline,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$12,500"
Ford,2020,"92,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$29,999"
Chevrolet,2017,"24,000 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$32,000"
RAM,2020,"25,396 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,"$43,250"
Chevrolet,2001,"167,000 mi.",Gasoline,300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$6,500"
RAM,2022,"18,645 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,"$49,700"
Porsche,2018,"28,470 mi.",Gasoline,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$147,500"
Ford,2016,"54,000 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$23,999"
Hyundai,2003,"83,000 mi.",Gasoline,104.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,M/T,"$2,900"
Audi,2022,"10,071 mi.",Hybrid,2.0 Liter TFSI,Automatic,"$40,598"
Ford,2021,"43,329 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,"$43,642"
Lexus,2015,"51,400 mi.",Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$43,000"
Chevrolet,2015,"153,800 mi.",E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$23,000"
Land,2022,"9,000 mi.",Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$115,000"
Dodge,2003,"10,800 mi.",Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$65,499"
RAM,2020,"10,458 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,"$48,815"
BMW,2014,"84,709 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$13,800"
Mercedes-Benz,2019,"33,500 mi.",Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$45,770"
BMW,2015,"98,000 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$32,999"
BMW,2008,"94,653 mi.",Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,"$7,300"
Ford,2023,"9,281 mi.",Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$85,000"
Chevrolet,2023,"11,806 mi.",Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$47,000"
Mercedes-Benz,1993,"70,015 mi.",–,–,4-Speed A/T,"$22,500"
Cadillac,2020,"48,613 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,"$61,500"
RAM,2023,"2,990 mi.",Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,A/T,"$69,900"
Audi,2005,"124,747 mi.",Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$6,900"
RAM,2021,"24,000 mi.",Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,"$42,000"
Mazda,2009,"113,000 mi.",Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$5,499"
INFINITI,2017,"89,106 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$18,000"
Ford,2017,"22,000 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$53,000"
Jeep,2022,"20,472 mi.",Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,"$28,298"
INFINITI,2023,"8,600 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$78,990"
Chevrolet,2022,"4,753 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$57,000"
Hyundai,2010,"65,000 mi.",Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$8,900"
Chevrolet,2021,"15,000 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$43,500"
Chevrolet,1997,"229,000 mi.",Diesel,180.0HP 6.5L 8 Cylinder Engine Diesel Fuel,A/T,"$19,500"
Audi,2014,"42,400 mi.",Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,"$26,500"
Land,2023,"15,840 mi.",Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$69,900"
Porsche,2016,"76,200 mi.",Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$42,000"
Chevrolet,2019,"105,667 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$39,000"
Chevrolet,2019,"51,338 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$49,900"
Dodge,2016,"76,857 mi.",Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,"$8,100"
Ford,2019,"80,200 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,"$42,500"
Toyota,2002,"244,200 mi.",Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$3,950"
Ford,2014,"38,560 mi.",Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$28,500"
Chevrolet,2020,"12,500 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$84,999"
Hyundai,2016,"45,303 mi.",Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$20,999"
Ford,2014,"110,000 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$9,495"
Cadillac,2011,"66,200 mi.",Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$16,499"
Subaru,2003,"71,000 mi.",Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$14,900"
Toyota,2019,"81,301 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,"$30,275"
Chevrolet,2019,"7,033 mi.",Gasoline,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$63,900"
Dodge,2020,"36,000 mi.",Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$62,000"
Acura,2010,"116,000 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$9,000"
Chevrolet,2018,"42,780 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$41,100"
BMW,2014,"39,886 mi.",Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$26,000"
Audi,2014,"151,400 mi.",Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$15,400"
Alfa,2017,"48,000 mi.",Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$20,500"
Toyota,2023,"8,727 mi.",Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,"$44,596"
Rolls-Royce,2011,"79,000 mi.",Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$80,300"
Dodge,2020,"54,000 mi.",Gasoline,372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$34,000"
Porsche,2016,"110,000 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$25,900"
Chevrolet,2020,"49,688 mi.",,200.0HP Electric Motor Electric Fuel System,A/T,"$24,900"
Mercedes-Benz,2020,"14,000 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$48,000"
Dodge,2023,"5,000 mi.",Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$110,000"
Chevrolet,2022,"11,597 mi.",Gasoline,6.2L V8 16V GDI OHV,Automatic,"$68,590"
Mercedes-Benz,2017,"86,101 mi.",Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,"$72,777"
Chevrolet,2017,"58,816 mi.",Gasoline,5.3L V8 16V GDI OHV,6-Speed Electronically Controlled Automatic with O,"$36,590"
Lexus,2016,"77,856 mi.",Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,"$30,919"
Lamborghini,2021,"20,069 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,"$229,900"
GMC,2015,"115,282 mi.",Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,"$12,433"
Porsche,2016,"30,700 mi.",Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$138,999"
MINI,2003,"103,726 mi.",Gasoline,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$5,995"
Mazda,2008,"39,800 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$13,250"
Toyota,2019,"79,500 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$33,333"
Toyota,2008,"165,520 mi.",Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$9,000"
BMW,2014,"92,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$24,000"
Hyundai,2023,"1,500 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$55,000"
Pontiac,2008,"38,100 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$19,950"
Land,2018,"42,125 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$38,999"
Porsche,2014,"86,818 mi.",Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,"$33,500"
BMW,2023,"3,490 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$95,580"
Toyota,2008,"111,300 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$7,900"
BMW,2011,"98,200 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$27,000"
Porsche,2018,"42,500 mi.",Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$53,999"
Jeep,2001,"171,000 mi.",Gasoline,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$15,000"
Honda,2023,"11,649 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$39,999"
Mercedes-Benz,2013,"24,933 mi.",Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$40,250"
Audi,2007,"99,769 mi.",Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$29,995"
Toyota,2022,"16,156 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,"$39,390"
Mercedes-Benz,2008,"67,250 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$11,900"
GMC,2021,"30,022 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,"$74,500"
Porsche,2017,"42,596 mi.",Gasoline,440.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$78,000"
Ford,2021,"33,705 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,"$36,995"
Land,2016,"63,300 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$31,000"
Acura,2023,"4,700 mi.",Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$52,000"
Toyota,2020,"27,256 mi.",Gasoline,3.5 Liter,6 Speed At/Mt,"$42,998"
Hummer,2010,"107,481 mi.",Gasoline,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,"$13,500"
Tesla,2018,"61,700 mi.",,271.0HP Electric Motor Electric Fuel System,A/T,"$25,900"
Volvo,1995,"94,000 mi.",–,–,A/T,"$4,500"
Jeep,2017,"128,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$26,800"
Chevrolet,2018,"26,000 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$39,000"
Audi,2015,"74,000 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$29,950"
Audi,2012,"54,900 mi.",Gasoline,360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$28,900"
INFINITI,2012,"141,775 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$11,500"
Volkswagen,2001,"63,250 mi.",Gasoline,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$12,000"
Audi,2022,"13,895 mi.",Hybrid,2.0 Liter TFSI,Automatic,"$44,998"
Lamborghini,2017,"10,654 mi.",Gasoline,"6.5L V-12 DOHC, variable valve control, premium unleaded, engine",Automatic,"$449,991"
Ford,2014,"35,900 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,"$27,900"
GMC,2022,"48,306 mi.",Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,"$71,999"
Audi,2012,"125,000 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$10,500"
Dodge,2016,"37,700 mi.",–,–,8-Speed A/T,"$38,000"
Tesla,2017,"103,000 mi.",,Electric Motor Electric Fuel System,1-Speed A/T,"$36,000"
Mazda,2021,"45,303 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,"$25,382"
Lexus,2016,"53,900 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$27,500"
Jeep,2008,"54,000 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$20,000"
Chevrolet,2007,"129,000 mi.",Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$17,950"
Jeep,2022,"10,232 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,"$44,646"
Acura,2023,"3,708 mi.",Gasoline,3.5 Liter SOHC,Automatic,"$58,998"
Nissan,2018,"167,000 mi.",Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$14,500"
Tesla,2019,"37,000 mi.",,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$58,000"
Subaru,2022,"10,419 mi.",Gasoline,"2L H-4 gasoline direct injection, DOHC, variable valve control,",Variable,"$24,998"
Audi,2014,"96,238 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$22,500"
Subaru,2022,"12,700 mi.",Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,"$38,500"
Chevrolet,2007,"244,000 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,"$16,900"
Porsche,2015,"124,000 mi.",Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$25,000"
BMW,2009,"123,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$15,000"
GMC,2022,"24,900 mi.",Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$49,900"
Ford,2016,"95,500 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$20,000"
Cadillac,2021,"4,283 mi.",Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,"$479,995"
Lexus,2021,"48,300 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$82,000"
BMW,2008,"94,000 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$25,999"
Nissan,2011,"183,000 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$12,000"
Ford,2013,"126,225 mi.",Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,"$11,500"
Volkswagen,2016,"87,892 mi.",Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$16,000"
Cadillac,2012,"45,000 mi.",Gasoline,556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$41,500"
Aston,2022,"1,023 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$156,900"
Lexus,2015,"106,000 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,"$37,500"
GMC,2019,"51,300 mi.",Gasoline,193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$25,500"
Ford,2021,"30,176 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,"$28,979"
Nissan,2021,"27,598 mi.",Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,"$39,884"
Volkswagen,2012,"107,000 mi.",Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,"$9,499"
Land,2019,"17,500 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$65,000"
